,loss,params,iteration,estimators
63,0.2373185538243373,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 106, 'learning_rate': 0.06366404996098282, 'subsample_for_bin': 220000, 'min_child_samples': 235, 'reg_alpha': 0.08163265306122448, 'reg_lambda': 0.22448979591836732, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.7727272727272727}",622,57
64,0.23736061632648897,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 32, 'learning_rate': 0.18439510808971457, 'subsample_for_bin': 180000, 'min_child_samples': 480, 'reg_alpha': 0.22448979591836732, 'reg_lambda': 0.3877551020408163, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.6515151515151515}",835,8
65,0.23738676112033308,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 110, 'learning_rate': 0.07434437865632709, 'subsample_for_bin': 80000, 'min_child_samples': 210, 'reg_alpha': 0.1020408163265306, 'reg_lambda': 0.3877551020408163, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.7323232323232324}",104,38
66,0.237390448433073,"{'class_weight': None, 'boosting_type': 'goss', 'num_leaves': 144, 'learning_rate': 0.007588990293418346, 'subsample_for_bin': 200000, 'min_child_samples': 145, 'reg_alpha': 0.4693877551020408, 'reg_lambda': 0.9591836734693877, 'colsample_bytree': 0.7333333333333333, 'subsample': 1.0}",687,40
67,0.23741390897089298,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 95, 'learning_rate': 0.005074399539250138, 'subsample_for_bin': 80000, 'min_child_samples': 130, 'reg_alpha': 0.32653061224489793, 'reg_lambda': 0.7551020408163265, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.7676767676767677}",621,200
68,0.23741550775022502,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 109, 'learning_rate': 0.02087314253774815, 'subsample_for_bin': 140000, 'min_child_samples': 190, 'reg_alpha': 0.08163265306122448, 'reg_lambda': 0.4081632653061224, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.7121212121212122}",571,117
69,0.23743865935330488,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 115, 'learning_rate': 0.006263159724102542, 'subsample_for_bin': 260000, 'min_child_samples': 290, 'reg_alpha': 0.3469387755102041, 'reg_lambda': 1.0, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.8484848484848485}",254,307
70,0.2374778985507653,"{'class_weight': None, 'boosting_type': 'gbdt', 'num_leaves': 118, 'learning_rate': 0.048981732603349946, 'subsample_for_bin': 280000, 'min_child_samples': 230, 'reg_alpha': 0.8979591836734693, 'reg_lambda': 0.836734693877551, 'colsample_bytree': 0.8666666666666667, 'subsample': 0.5}",3,63
71,0.23749602365666367,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 35, 'learning_rate': 0.020643191807048003, 'subsample_for_bin': 160000, 'min_child_samples': 480, 'reg_alpha': 0.26530612244897955, 'reg_lambda': 0.5306122448979591, 'colsample_bytree': 0.6, 'subsample': 0.6868686868686869}",980,22
72,0.23749784474565927,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 136, 'learning_rate': 0.06461136515776175, 'subsample_for_bin': 120000, 'min_child_samples': 150, 'reg_alpha': 0.0, 'reg_lambda': 0.9591836734693877, 'colsample_bytree': 0.6, 'subsample': 0.7424242424242424}",255,18
73,0.23750984414102183,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 148, 'learning_rate': 0.026049995829899114, 'subsample_for_bin': 20000, 'min_child_samples': 365, 'reg_alpha': 0.3877551020408163, 'reg_lambda': 0.6122448979591836, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.9090909090909092}",239,129
74,0.23751897762000485,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 85, 'learning_rate': 0.02126210003400329, 'subsample_for_bin': 200000, 'min_child_samples': 240, 'reg_alpha': 0.673469387755102, 'reg_lambda': 0.5714285714285714, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.5050505050505051}",383,120
75,0.2375265885721507,"{'class_weight': 'balanced', 'boosting_type': 'gbdt', 'num_leaves': 136, 'learning_rate': 0.048442121225583966, 'subsample_for_bin': 260000, 'min_child_samples': 255, 'reg_alpha': 0.16326530612244897, 'reg_lambda': 0.9387755102040816, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.5909090909090909}",59,63
